gqaExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
gqaExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
gqaExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
gqaExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
1,0.26618,0.1791,27.185651836492827,496.77328257955566,0.18315,496.8141841038018,4686.369863510132,0.0003
2,0.36668,0.2867,3.2864576995830097,53.86367790562332,0.30105,53.78122560537545,3980.6334948539734,0.0003
3,0.41802,0.34795,2.8501417460039145,8.272221865927337,0.37315,8.15912305625381,4004.6001057624817,0.0003
4,0.45654,0.3962,2.5975024181863535,3.892887323525301,0.4391,3.7291553627913165,3999.799736022949,0.0003
5,0.4857,0.42825,2.410344764094828,3.087061604117132,0.49275,2.829100836614135,4010.666712999344,0.0003
6,0.51232,0.44665,2.2573687792434107,2.7849541803833784,0.53485,2.4097831340352442,4021.9836432933807,0.0003
7,0.54494,0.4538,2.101420260451334,2.639985108831126,0.57395,2.1306313921691507,4093.499966621399,0.0003
8,0.57272,0.4616,1.979992033880385,2.571907274282662,0.6168,1.903093531632879,3986.033077478409,0.0003
9,0.60112,0.4654,1.8514249946760095,2.555762374477022,0.65925,1.7103278014310606,3925.8000769615173,0.0003
10,0.63476,0.46815,1.7211271469550364,2.572439093498667,0.69825,1.534579160866464,3913.883467197418,0.0003
gqaExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
1,0.4490922587486744,0.509,3.818111989724002,2.147116084642048,0.5309,2.035443413106701,60191.69369506836,0.0003
